Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
22-02-2023,Text Post,Text Post,1,1,1,1
22-02-2023,Level,Visual,0.015151515,0,2,132
22-02-2023,Streak,Visual,0.136363636,0,3,22
22-02-2023,Collection,Visual,0.0625,0,3,48
22-02-2023,Course Certificate,Visual,0.127272727,0,7,55
22-02-2023,Career Track Certificate,Visual,0,0,0,1
23-02-2023,Text Post,Text Post,1,3,3,3
23-02-2023,Level,Visual,0,0,0,150
23-02-2023,Streak,Visual,0,0,0,25
23-02-2023,Collection,Visual,0.051282051,0,2,39
23-02-2023,Course Certificate,Visual,0.163636364,0,9,55
23-02-2023,Career Track Certificate,Visual,0,0,0,1
24-02-2023,Text Post,Text Post,0,1,0,1
24-02-2023,Level,Visual,0.012738854,0,2,157
24-02-2023,Streak,Visual,0.148148148,0,4,27
24-02-2023,Collection,Visual,0.026315789,0,1,38
24-02-2023,Course Certificate,Visual,0.282608696,1,13,46
24-02-2023,Career Track Certificate,Visual,1,0,1,1
25-02-2023,Level,Visual,0.013422819,0,2,149
